Entity Name,Entity ID,Entity Type,Curator-Approved Entity Type,Destination Eligibility,Destination Tier,Navigation Prominence,Entity-Type Baseline,Entity Worthiness Score,Entity-Type Percentile,Research Value Narrative,Supporting Evidence,Justification,Human Recommendation,Human Decision
Michael Gold,michael-gold,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,47,32.7,"Michael Gold is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 0 source or official-link references, and a type-weighted score of 47/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 2 outbound; 2 related entities; 0 references,"Michael Gold is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 0 source or official-link references, and a type-weighted score of 47/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Michael Herrera,michael-herrera,person,No,Qualifies as a destination,Tier 1 — Core Research Destination,Featured Research Gateway,person,68,86.9,"Michael Herrera is evaluated against the person baseline. It has 5 related entities, 8 relationship types, 2 source or official-link references, and a type-weighted score of 68/100.",3 inbound; 6 outbound; 5 related entities; 2 references,"Michael Herrera is evaluated against the person baseline. It has 5 related entities, 8 relationship types, 2 source or official-link references, and a type-weighted score of 68/100.",Recommend destination status,pending
Michael Lazovsky,michael-lazovsky,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,44,26.8,"Michael Lazovsky is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 44/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 0 outbound; 1 related entities; 0 references,"Michael Lazovsky is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 44/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Michael Lembeck,michael-lembeck,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,46,31.4,"Michael Lembeck is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 46/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 0 outbound; 1 related entities; 1 references,"Michael Lembeck is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 46/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Michael Shellenberger,michael-shellenberger,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,43,24.2,"Michael Shellenberger is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 43/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 0 references,"Michael Shellenberger is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 43/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Michele Adams,michele-adams,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,38,8.5,"Michele Adams is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 38/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 0 outbound; 1 related entities; 0 references,"Michele Adams is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 38/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Mike Gold,mike-gold,person,No,Qualifies as a destination,Tier 2 — Research Destination,Frequently Recommended,person,56,75.8,"Mike Gold is evaluated against the person baseline. It has 3 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 56/100.",3 inbound; 1 outbound; 3 related entities; 1 references,"Mike Gold is evaluated against the person baseline. It has 3 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 56/100.",Recommend destination status,pending
Patrick “P.J.” Hughes,patrick-pj-hughes,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,54,69.9,"Patrick “P.J.” Hughes is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 2 source or official-link references, and a type-weighted score of 54/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 2 outbound; 2 related entities; 2 references,"Patrick “P.J.” Hughes is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 2 source or official-link references, and a type-weighted score of 54/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Philip J. Corso,philip-j-corso,person,No,Qualifies as a destination,Tier 1 — Core Research Destination,Featured Research Gateway,person,78,92.2,"Philip J. Corso is evaluated against the person baseline. It has 8 related entities, 7 relationship types, 2 source or official-link references, and a type-weighted score of 78/100.",6 inbound; 4 outbound; 8 related entities; 2 references,"Philip J. Corso is evaluated against the person baseline. It has 8 related entities, 7 relationship types, 2 source or official-link references, and a type-weighted score of 78/100.",Recommend destination status,pending
Piia Wirsu,piia-wirsu,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,49,45.1,"Piia Wirsu is evaluated against the person baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 49/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 1 outbound; 1 related entities; 1 references,"Piia Wirsu is evaluated against the person baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 49/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Ralph Blumenthal,ralph-blumenthal,person,No,Qualifies as a destination,Tier 2 — Research Destination,Frequently Recommended,person,55,72.5,"Ralph Blumenthal is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 55/100.",2 inbound; 2 outbound; 2 related entities; 1 references,"Ralph Blumenthal is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 55/100.",Recommend destination status,pending
Richard Beckwith,richard-beckwith,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,44,27.5,"Richard Beckwith is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 44/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 0 outbound; 1 related entities; 2 references,"Richard Beckwith is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 44/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Richard Dolan,richard-dolan,person,No,Qualifies as a destination,Tier 1 — Core Research Destination,Featured Research Gateway,person,85,94.8,"Richard Dolan is evaluated against the person baseline. It has 18 related entities, 3 relationship types, 1 source or official-link references, and a type-weighted score of 85/100.",15 inbound; 5 outbound; 18 related entities; 1 references,"Richard Dolan is evaluated against the person baseline. It has 18 related entities, 3 relationship types, 1 source or official-link references, and a type-weighted score of 85/100.",Recommend destination status,pending
Robbie Williams,robbie-williams,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,40,14.4,"Robbie Williams is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 40/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 0 outbound; 1 related entities; 0 references,"Robbie Williams is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 40/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Robert Hastings,robert-hastings,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,52,66.0,"Robert Hastings is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 52/100. Current evidence does not yet establish sufficient independent destination value.",2 inbound; 1 outbound; 2 related entities; 1 references,"Robert Hastings is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 52/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Robert Jacobs,robert-jacobs,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,51,60.1,"Robert Jacobs is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 51/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 2 outbound; 2 related entities; 1 references,"Robert Jacobs is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 51/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Robert L. Hall,robert-l-hall,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,35,1.3,"Robert L. Hall is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 35/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 0 references,"Robert L. Hall is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 35/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Robert Salas,robert-salas,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,51,60.8,"Robert Salas is evaluated against the person baseline. It has 3 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 51/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 3 outbound; 3 related entities; 1 references,"Robert Salas is evaluated against the person baseline. It has 3 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 51/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Robin Hanson,robin-hanson,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,41,19.0,"Robin Hanson is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 41/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 0 outbound; 1 related entities; 1 references,"Robin Hanson is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 41/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Rod Roddenberry,rod-roddenberry,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,40,15.0,"Rod Roddenberry is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 40/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 0 outbound; 1 related entities; 0 references,"Rod Roddenberry is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 40/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Ronald S. Moultrie,ronald-moultrie,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,40,15.7,"Ronald S. Moultrie is evaluated against the person baseline. It has 2 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 40/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 2 outbound; 2 related entities; 0 references,"Ronald S. Moultrie is evaluated against the person baseline. It has 2 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 40/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Rory Kremer,rory-kremer,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,49,45.8,"Rory Kremer is evaluated against the person baseline. It has 2 related entities, 3 relationship types, 1 source or official-link references, and a type-weighted score of 49/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 2 outbound; 2 related entities; 1 references,"Rory Kremer is evaluated against the person baseline. It has 2 related entities, 3 relationship types, 1 source or official-link references, and a type-weighted score of 49/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Ross Coulthart,ross-coulthart,person,No,Qualifies as a destination,Tier 1 — Core Research Destination,Core Navigation,person,88,98.7,"Ross Coulthart is evaluated against the person baseline. It has 71 related entities, 3 relationship types, 2 source or official-link references, and a type-weighted score of 88/100.",69 inbound; 3 outbound; 71 related entities; 2 references,"Ross Coulthart is evaluated against the person baseline. It has 71 related entities, 3 relationship types, 2 source or official-link references, and a type-weighted score of 88/100.",Recommend destination status,pending
Ryan Bodenheimer,ryan-bodenheimer,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,38,9.2,"Ryan Bodenheimer is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 38/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 0 outbound; 1 related entities; 0 references,"Ryan Bodenheimer is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 38/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Ryan Graves,ryan-graves,person,No,Qualifies as a destination,Tier 1 — Core Research Destination,Featured Research Gateway,person,87,96.7,"Ryan Graves is evaluated against the person baseline. It has 32 related entities, 10 relationship types, 2 source or official-link references, and a type-weighted score of 87/100.",28 inbound; 9 outbound; 32 related entities; 2 references,"Ryan Graves is evaluated against the person baseline. It has 32 related entities, 10 relationship types, 2 source or official-link references, and a type-weighted score of 87/100.",Recommend destination status,pending
Ryan Robbins,ryan-robbins,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,54,70.6,"Ryan Robbins is evaluated against the person baseline. It has 3 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 54/100. Current evidence does not yet establish sufficient independent destination value.",3 inbound; 1 outbound; 3 related entities; 1 references,"Ryan Robbins is evaluated against the person baseline. It has 3 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 54/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Ryan Weigelt,ryan-weigelt,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,50,52.9,"Ryan Weigelt is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 50/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 2 outbound; 2 related entities; 1 references,"Ryan Weigelt is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 50/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Scott Kelly,scott-kelly,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,52,66.7,"Scott Kelly is evaluated against the person baseline. It has 4 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 52/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 4 outbound; 4 related entities; 1 references,"Scott Kelly is evaluated against the person baseline. It has 4 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 52/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Scott W. Bray,scott-bray,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,39,11.8,"Scott W. Bray is evaluated against the person baseline. It has 2 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 39/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 2 outbound; 2 related entities; 0 references,"Scott W. Bray is evaluated against the person baseline. It has 2 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 39/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Sean M. Kirkpatrick,sean-kirkpatrick,person,No,Qualifies as a destination,Tier 1 — Core Research Destination,Featured Research Gateway,person,82,94.1,"Sean M. Kirkpatrick is evaluated against the person baseline. It has 13 related entities, 4 relationship types, 4 source or official-link references, and a type-weighted score of 82/100.",9 inbound; 4 outbound; 13 related entities; 4 references,"Sean M. Kirkpatrick is evaluated against the person baseline. It has 13 related entities, 4 relationship types, 4 source or official-link references, and a type-weighted score of 82/100.",Recommend destination status,pending
Shelley Wright,shelley-wright,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,49,46.4,"Shelley Wright is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 49/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 2 outbound; 2 related entities; 1 references,"Shelley Wright is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 49/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Steven Greer,steven-greer,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,49,47.1,"Steven Greer is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 49/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 2 references,"Steven Greer is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 49/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Thiago Ticchetti,thiago-ticchetti,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,53,69.3,"Thiago Ticchetti is evaluated against the person baseline. It has 2 related entities, 3 relationship types, 1 source or official-link references, and a type-weighted score of 53/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 2 outbound; 2 related entities; 1 references,"Thiago Ticchetti is evaluated against the person baseline. It has 2 related entities, 3 relationship types, 1 source or official-link references, and a type-weighted score of 53/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Tim Burchett,tim-burchett,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,51,61.4,"Tim Burchett is evaluated against the person baseline. It has 6 related entities, 2 relationship types, 0 source or official-link references, and a type-weighted score of 51/100. Current evidence does not yet establish sufficient independent destination value.",5 inbound; 1 outbound; 6 related entities; 0 references,"Tim Burchett is evaluated against the person baseline. It has 6 related entities, 2 relationship types, 0 source or official-link references, and a type-weighted score of 51/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Tim Gallaudet,tim-gallaudet,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,51,62.1,"Tim Gallaudet is evaluated against the person baseline. It has 3 related entities, 3 relationship types, 0 source or official-link references, and a type-weighted score of 51/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 2 outbound; 3 related entities; 0 references,"Tim Gallaudet is evaluated against the person baseline. It has 3 related entities, 3 relationship types, 0 source or official-link references, and a type-weighted score of 51/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Tim Phillips,tim-phillips,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,38,9.8,"Tim Phillips is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 38/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 0 outbound; 1 related entities; 0 references,"Tim Phillips is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 38/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Tom DeLonge,tom-delonge,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,48,36.6,"Tom DeLonge is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 0 source or official-link references, and a type-weighted score of 48/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 1 outbound; 2 related entities; 0 references,"Tom DeLonge is evaluated against the person baseline. It has 2 related entities, 2 relationship types, 0 source or official-link references, and a type-weighted score of 48/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Travis Taylor,travis-taylor,person,No,Qualifies as a destination,Tier 2 — Research Destination,Frequently Recommended,person,56,76.5,"Travis Taylor is evaluated against the person baseline. It has 3 related entities, 3 relationship types, 2 source or official-link references, and a type-weighted score of 56/100.",1 inbound; 2 outbound; 3 related entities; 2 references,"Travis Taylor is evaluated against the person baseline. It has 3 related entities, 3 relationship types, 2 source or official-link references, and a type-weighted score of 56/100.",Recommend destination status,pending
Unnamed Eglin UAP Witness,unnamed-eglin-uap-witness,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,50,53.6,"Unnamed Eglin UAP Witness is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 50/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 0 outbound; 1 related entities; 2 references,"Unnamed Eglin UAP Witness is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 50/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Warren Randolph,warren-randolph,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,50,54.2,"Warren Randolph is evaluated against the person baseline. It has 3 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 50/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 3 outbound; 3 related entities; 1 references,"Warren Randolph is evaluated against the person baseline. It has 3 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 50/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Wayne Pacelle,wayne-pacelle,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,44,28.1,"Wayne Pacelle is evaluated against the person baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 44/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 1 outbound; 1 related entities; 1 references,"Wayne Pacelle is evaluated against the person baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 44/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Whitley Strieber,whitley-strieber,person,No,Qualifies as a destination,Tier 2 — Research Destination,Frequently Recommended,person,56,77.1,"Whitley Strieber is evaluated against the person baseline. It has 3 related entities, 3 relationship types, 3 source or official-link references, and a type-weighted score of 56/100.",2 inbound; 3 outbound; 3 related entities; 3 references,"Whitley Strieber is evaluated against the person baseline. It has 3 related entities, 3 relationship types, 3 source or official-link references, and a type-weighted score of 56/100.",Recommend destination status,pending
Will Brown,will-brown,person,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,person,38,10.5,"Will Brown is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 38/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 0 outbound; 1 related entities; 0 references,"Will Brown is evaluated against the person baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 38/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
MERGED Episode #1 — Interview with Dr. Garry Nolan,2023-merged-episode-1,podcast_episode,Yes,Qualifies as a destination,Tier 2 — Research Destination,Frequently Recommended,podcast_episode,78,85.2,"MERGED Episode #1 — Interview with Dr. Garry Nolan is evaluated against the podcast_episode baseline. It has 12 related entities, 7 relationship types, 2 source or official-link references, and a type-weighted score of 78/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",5 inbound; 8 outbound; 12 related entities; 2 references,"MERGED Episode #1 — Interview with Dr. Garry Nolan is evaluated against the podcast_episode baseline. It has 12 related entities, 7 relationship types, 2 source or official-link references, and a type-weighted score of 78/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
MERGED Episode #10 — Looking to the Sky for Extraordinary Evidence of UAP,2023-merged-episode-10,podcast_episode,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,podcast_episode,64,25.4,"MERGED Episode #10 — Looking to the Sky for Extraordinary Evidence of UAP is evaluated against the podcast_episode baseline. It has 10 related entities, 5 relationship types, 2 source or official-link references, and a type-weighted score of 64/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",4 inbound; 6 outbound; 10 related entities; 2 references,"MERGED Episode #10 — Looking to the Sky for Extraordinary Evidence of UAP is evaluated against the podcast_episode baseline. It has 10 related entities, 5 relationship types, 2 source or official-link references, and a type-weighted score of 64/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
MERGED Episode #11 — Beyond the Stigma: A UAP Call to Action,2023-merged-episode-11,podcast_episode,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,podcast_episode,62,22.7,"MERGED Episode #11 — Beyond the Stigma: A UAP Call to Action is evaluated against the podcast_episode baseline. It has 9 related entities, 4 relationship types, 2 source or official-link references, and a type-weighted score of 62/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",4 inbound; 5 outbound; 9 related entities; 2 references,"MERGED Episode #11 — Beyond the Stigma: A UAP Call to Action is evaluated against the podcast_episode baseline. It has 9 related entities, 4 relationship types, 2 source or official-link references, and a type-weighted score of 62/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
MERGED Episode #12 — A New Era of Aviation Safety,2023-merged-episode-12,podcast_episode,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,podcast_episode,61,20.3,"MERGED Episode #12 — A New Era of Aviation Safety is evaluated against the podcast_episode baseline. It has 9 related entities, 4 relationship types, 2 source or official-link references, and a type-weighted score of 61/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",4 inbound; 5 outbound; 9 related entities; 2 references,"MERGED Episode #12 — A New Era of Aviation Safety is evaluated against the podcast_episode baseline. It has 9 related entities, 4 relationship types, 2 source or official-link references, and a type-weighted score of 61/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
MERGED Episode #13 — An Open-Minded Scientific Approach to UAP,2023-merged-episode-13,podcast_episode,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,podcast_episode,62,23.0,"MERGED Episode #13 — An Open-Minded Scientific Approach to UAP is evaluated against the podcast_episode baseline. It has 10 related entities, 4 relationship types, 2 source or official-link references, and a type-weighted score of 62/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",4 inbound; 6 outbound; 10 related entities; 2 references,"MERGED Episode #13 — An Open-Minded Scientific Approach to UAP is evaluated against the podcast_episode baseline. It has 10 related entities, 4 relationship types, 2 source or official-link references, and a type-weighted score of 62/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
